,SPY,QQQ,TLT,GLD,USO
2014-10-24,0.18470707199180156,0.2173278654173022,0.12499270536617951,0.10720588602254502,0.24267745670183904
2014-10-27,0.18466556753323682,0.2172831494450492,0.12277777950750852,0.10771184443084827,0.23462916347435714
2014-10-28,0.1890228418437564,0.22370679327589124,0.12326052403356937,0.10405176871099243,0.22088285020667559
2014-10-29,0.1819179823403128,0.2155784351275902,0.10350103690235415,0.1158098003592054,0.23038924590371887
2014-10-30,0.18287570438856618,0.21552553170581246,0.09756242764915828,0.121505136966549,0.2296559279164412
2014-10-31,0.1831802819974242,0.2179793672522466,0.09756915766270219,0.1291280044567701,0.22522755031975167
2014-11-03,0.18296764305879892,0.21753629206324082,0.09759822859272338,0.11978888790414541,0.2347219396993766
2014-11-04,0.1729858338882689,0.21013481026482325,0.08568351477229791,0.11893501733528583,0.23349232111538726
2014-11-05,0.16406696001458135,0.20042243683636468,0.085856588218049,0.1305261115592145,0.2529803564851312
2014-11-06,0.14352852401500113,0.18922678095726467,0.08759518585815386,0.1302394203254106,0.24066597119459948
2014-11-07,0.13381907540517501,0.15985134431557693,0.09009756942811371,0.1716485124244121,0.24202434962801572
2014-11-10,0.11179255084213706,0.14257153194133076,0.09271751159708404,0.18172353827302917,0.2447143725870091
2014-11-11,0.11199346057346392,0.14168864399270936,0.08885569888706488,0.19199947908701934,0.21549729666464779
2014-11-12,0.10625105895820236,0.13590128677504842,0.08237043479837117,0.19072256917609548,0.21669557754050028
2014-11-13,0.10514524019274475,0.12903260760197208,0.08132518916908386,0.19058292986209155,0.22709472703284966
2014-11-14,0.10264533774903889,0.12627230055313346,0.08205525872463873,0.21544774418961643,0.240232110744093
2014-11-17,0.10104508017088117,0.12405853068312314,0.08081636983552684,0.21306230890477587,0.2402698792761406
2014-11-18,0.08157119313563589,0.09442380326274209,0.07712028243635348,0.21627433112440742,0.2417808844380768
2014-11-19,0.074667651398155,0.09368999279155447,0.0798376725326987,0.2187886501203546,0.2322078173930509
2014-11-20,0.06773428429199653,0.08326905542641878,0.07621706753545354,0.2225829849059506,0.232557888394016
2014-11-21,0.06591504599647863,0.08095896818697432,0.07909409896157049,0.2236303395734933,0.23975655079662686
2014-11-24,0.06425953127223215,0.08264614211346864,0.07891411805827932,0.22362854862109222,0.24155648123163326
2014-11-25,0.05644975037138594,0.06915722001069634,0.07995301410401282,0.22392142086909123,0.250725892975103
2014-11-26,0.054767756453525426,0.06688829023963855,0.0800680168859251,0.218456221625927,0.24164460773818447
2014-11-28,0.054764497502998666,0.06714792003349904,0.08372564244660963,0.2349658806414718,0.36614902635369717
2014-12-01,0.0512169559649468,0.07218875816017689,0.08649313162134918,0.26345888022147257,0.3899242043708802
2014-12-02,0.05469319378173227,0.0725333000018846,0.09473553197255483,0.2674024238884364,0.3897183532548017
2014-12-03,0.05234127620334321,0.07002778367914957,0.09504641988390297,0.2692201011707406,0.3892601740818939
