,SPY,QQQ,TLT,GLD,USO
2010-12-29,95.8192367553711,47.944610595703125,60.16456604003906,137.7100067138672,310.55999755859375
2010-12-30,95.66703796386719,47.83082962036133,60.119361877441406,137.02999877929688,304.9599914550781
2010-12-31,95.68989562988281,47.655818939208984,60.7845573425293,138.72000122070312,312.0
2011-01-03,96.67913055419922,48.399627685546875,60.32601547241211,138.0,312.3999938964844
2011-01-04,96.6258544921875,48.364646911621094,60.39704132080078,134.75,304.6400146484375
2011-01-05,97.1280746459961,48.77592086791992,59.066673278808594,134.3699951171875,308.1600036621094
2011-01-06,96.93782806396484,48.93342208862305,59.32503890991211,133.8300018310547,301.44000244140625
2011-01-07,96.7475814819336,48.88966751098633,59.641483306884766,133.5800018310547,301.3599853515625
2011-01-10,96.6258544921875,49.07343673706055,59.96436309814453,134.1199951171875,305.3599853515625
2011-01-11,96.96825408935547,49.143455505371094,59.628536224365234,134.91000366210938,311.0400085449219
2011-01-12,97.8433609008789,49.49346160888672,59.16357421875,135.4600067138672,311.9200134277344
2011-01-13,97.68355560302734,49.51097869873047,59.69313430786133,134.0500030517578,309.20001220703125
2011-01-14,98.39125061035156,49.878482818603516,59.31207275390625,132.69000244140625,311.3599853515625
2011-01-18,98.55863952636719,50.01850509643555,59.03440856933594,133.42999267578125,309.8399963378906
2011-01-19,97.59223937988281,49.44972610473633,59.46065902709961,133.72000122070312,308.32000732421875
2011-01-20,97.46289825439453,49.099693298339844,58.640464782714844,131.1999969482422,300.55999755859375
2011-01-21,97.68355560302734,48.7234001159668,59.10542297363281,131.02999877929688,300.0799865722656
2011-01-24,98.23905181884766,49.39720916748047,59.13123321533203,130.36000061035156,295.44000244140625
2011-01-25,98.29235076904297,49.467201232910156,59.69313430786133,130.10000610351562,290.1600036621094
2011-01-26,98.67282104492188,49.7297248840332,58.78904724121094,131.16000366210938,294.79998779296875
2011-01-27,98.91630554199219,50.03600311279297,59.05378341674805,127.93000030517578,287.5199890136719
2011-01-28,97.18894958496094,48.76716232299805,59.363746643066406,130.27999877929688,300.6400146484375
2011-01-31,97.9194564819336,49.00343704223633,58.91170120239258,129.8699951171875,308.8800048828125
2011-02-01,99.48705291748047,49.92225646972656,58.620059967041016,130.8000030517578,304.55999755859375
2011-02-02,99.2967529296875,49.843482971191406,58.63298416137695,130.4499969482422,305.44000244140625
2011-02-03,99.51747131347656,49.930999755859375,58.146934509277344,132.1999969482422,304.7200012207031
2011-02-04,99.79905700683594,50.211021423339844,57.55718231201172,131.66000366210938,298.7200012207031
2011-02-07,100.42300415039062,50.44728088378906,57.85531997680664,131.67999267578125,293.2799987792969
2011-02-08,100.87956237792969,50.779808044433594,57.32386779785156,133.13999938964844,293.1199951171875
2011-02-09,100.6512680053711,50.692291259765625,57.82291030883789,133.07000732421875,292.0
2011-02-10,100.6893310546875,50.77104949951172,57.1553840637207,132.85000610351562,292.32000732421875
2011-02-11,101.29046630859375,51.13859176635742,57.97846984863281,132.32000732421875,288.3999938964844
2011-02-14,101.53398132324219,51.26108932495117,58.01731491088867,132.9499969482422,287.0400085449219
2011-02-15,101.21435546875,51.191078186035156,58.27659225463867,133.97000122070312,283.1199951171875
2011-02-16,101.85356140136719,51.52360534667969,58.088619232177734,134.10000610351562,284.239990234375
2011-02-17,102.15797424316406,51.506107330322266,58.17934036254883,135.0399932861328,288.4800109863281
2011-02-18,102.37104797363281,51.39234924316406,57.99787902832031,135.41000366210938,290.8800048828125
2011-02-22,100.31647491455078,49.90475082397461,58.86629867553711,136.2899932861328,307.9200134277344
2011-02-23,99.70008850097656,49.49346160888672,59.080196380615234,137.50999450683594,318.3999938964844
2011-02-24,99.63159942626953,49.755985260009766,59.45611572265625,136.47999572753906,311.760009765625
2011-02-25,100.69693756103516,50.44728088378906,59.80604553222656,137.3800048828125,317.44000244140625
2011-02-28,101.32091522216797,50.55228805541992,59.88380432128906,137.66000366210938,313.5199890136719
2011-03-01,99.63159942626953,49.73847961425781,60.05744171142578,140.02999877929688,323.8399963378906
2011-03-02,99.8447036743164,50.00099563598633,59.13413619995117,139.9199981689453,331.1199951171875
2011-03-03,101.56443786621094,50.98982620239258,58.55548858642578,138.08999633789062,329.44000244140625
2011-03-04,100.80345916748047,50.72731399536133,59.043155670166016,139.35000610351562,338.6400146484375
2011-03-07,100.0120620727539,50.04475021362305,58.666038513183594,139.72000122070312,338.9599914550781
2011-03-08,100.88716125488281,50.24600601196289,58.308448791503906,139.36000061035156,338.4800109863281
2011-03-09,100.7425765991211,49.90475082397461,58.87411117553711,139.41000366210938,336.3999938964844
2011-03-10,98.87823486328125,49.12594223022461,59.86237716674805,137.77000427246094,331.20001220703125
2011-03-11,99.56311798095703,49.43220520019531,59.5242919921875,138.22000122070312,325.5199890136719
2011-03-14,98.96197509765625,49.257198333740234,59.498252868652344,138.86000061035156,327.2799987792969
2011-03-15,97.82816314697266,48.55715560913086,60.38901138305664,136.27000427246094,315.1199951171875
