,Strategy,Buy_Hold,Excess
2009-04-30,0.10461009849561043,0.09934629870077316,0.005263799794837265
2009-05-31,0.06197100802070499,0.058453070965856835,0.0035179370548481526
2009-06-30,-0.0005840557401682878,-0.0006547882202315725,7.07324800632847e-05
2009-07-31,0.08097598603111678,0.07460570443322867,0.0063702815978881056
2009-08-31,0.039378268711356634,0.03693975878430633,0.002438509927050303
2009-09-30,0.03786547985188715,0.03545691557057018,0.0024085642813169716
2009-10-31,-0.02050062676017439,-0.019224917695517707,-0.0012757090646566827
2009-11-30,0.0655136539339074,0.06160631095962188,0.0039073429742855215
2009-12-31,0.02040252356132899,0.019101172860009674,0.0013013507013193149
2010-01-31,-0.03904996237511649,-0.03634274752242683,-0.0027072148526896544
2010-02-28,0.03373753976885685,0.031195108531131277,0.002542431237725573
2010-03-31,0.06545595527045633,0.060879468570514295,0.0045764866999420395
2010-04-30,0.016826380167781263,0.015470505256832023,0.0013558749109492396
2010-05-31,-0.08704177551351133,-0.07945485537692909,-0.0075869201365822425
2010-06-30,-0.05642555734283383,-0.051740911363516884,-0.004684645979316948
2010-07-31,0.07493979217983493,0.06830089686261553,0.006638895317219395
2010-08-31,-0.04835175490926236,-0.04498067355136193,-0.0033710813579004295
2010-09-30,0.09769781029242774,0.089554655761372,0.00814315453105574
2010-10-31,0.04062834014583405,0.038202147966196476,0.0024261921796375763
2010-11-30,2.5662487652011734e-05,2.220446049250313e-16,2.566248765178969e-05
2010-12-31,0.07135270863249366,0.06685251838031614,0.004500190252177516
2011-01-31,0.024710503106392778,0.023299856660671026,0.0014106464457217527
2011-02-28,0.03685805230018935,0.03473731230178889,0.002120739998400456
2011-03-31,0.0015286638925928742,0.00012025299060636208,0.001408410901986512
2011-04-30,0.03095857904740429,0.028961449283131158,0.001997129764273131
2011-05-31,-0.011490563840807266,-0.011214643353765985,-0.00027592048704128125
2011-06-30,-0.018522607756993104,-0.016869861092713823,-0.001652746664279281
2011-07-31,-0.02098916217403768,-0.02000434764216419,-0.0009848145318734902
2011-08-31,-0.060669000644903215,-0.05497589518323798,-0.005693105461665238
2011-09-30,-0.07530969304529367,-0.06942072441978053,-0.005888968625513136
2011-10-31,0.1197117695431158,0.10914782685857372,0.010563942684542083
2011-11-30,-0.0029748516149392668,-0.004064286181686749,0.0010894345667474825
2011-12-31,0.011267323918874306,0.010448863504737504,0.0008184604141368013
2012-01-31,0.04958852061845165,0.04637431061893693,0.0032142099995147166
2012-02-29,0.046719117578788216,0.04340508725189829,0.0033140303268899274
2012-03-31,0.03453369638230752,0.032163667249049066,0.0023700291332584555
2012-04-30,-0.006924311971445829,-0.006675613219243481,-0.0002486987522023476
2012-05-31,-0.06539433986683874,-0.060055927427997036,-0.0053384124388417
2012-06-30,0.04540853263726974,0.040581514606619074,0.004827018030650665
2012-07-31,0.012887662209824846,0.011829357767479731,0.001058304442345115
2012-08-31,0.027020180112821368,0.0250523724088465,0.0019678077039748665
2012-09-30,0.027329252236598434,0.02535124037841796,0.001978011858180473
2012-10-31,-0.019721235697472306,-0.01819804582343343,-0.0015231898740388772
2012-11-30,0.005676507718426871,0.0056592469263754275,1.7260792051443374e-05
2012-12-31,0.00945081988854235,0.008934932910070748,0.0005158869784716025
2013-01-31,0.05521146699603574,0.05119009054140666,0.0040213764546290776
2013-02-28,0.01365225975306772,0.012758698806531354,0.0008935609465363648
2013-03-31,0.040874351480683746,0.03797132269446024,0.002903028786223505
2013-04-30,0.0206482176555276,0.01921216579621321,0.0014360518593143912
2013-05-31,0.02569644554049022,0.023609869558956165,0.0020865759815340557
2013-06-30,-0.014358836130623276,-0.013345021013246638,-0.0010138151173766374
2013-07-31,0.05573373135764226,0.051677452398897206,0.004056278958745052
2013-08-31,-0.031944340660252646,-0.029992263924793927,-0.0019520767354587187
2013-09-30,0.03451198448471415,0.03164609653532069,0.002865887949393464
2013-10-31,0.04901379011750806,0.046306898133908314,0.0027068919835997463
2013-11-30,0.03157977934427647,0.02963819453712846,0.0019415848071480113
2013-12-31,0.027369007391358835,0.0259260317072727,0.001442975684086134
2014-01-31,-0.03728870577152399,-0.035248204855748866,-0.002040500915775123
